synset_id	synset str	lemma	variant
371124	(gull 2* (cpor) [cpor] | dupe 1* (cpor), slang 2* (cpor), befool 2* (cpor), cod 1* (cpor), fool 3* (cpor), put on 8* (cpor), take in 2* (cpor), put one over 1* (cpor), put one across 1* (cpor))	put on	8
371122	(deceive 2* (cpor) [cpor] | betray 6* (cpor), lead astray 3* (cpor))	lead astray	3
371121	(horse around 1* (cpor) [cpor] | arse around 2* (cpor), fool around 1* (cpor), fool 4* (cpor))	fool around	1
371121	(horse around 1* (cpor) [cpor] | arse around 2* (cpor), fool around 1* (cpor), fool 4* (cpor))	arse around	2
371121	(horse around 1* (cpor) [cpor] | arse around 2* (cpor), fool around 1* (cpor), fool 4* (cpor))	horse around	1
371113	(ridicule 1* (cpor) [cpor] | roast 2* (cpor), guy 1* (cpor), blackguard 1* (cpor), laugh at 1* (cpor), jest at 1* (cpor), rib 2* (cpor), make fun 1* (cpor), poke fun 1* (cpor))	poke fun	1
371113	(ridicule 1* (cpor) [cpor] | roast 2* (cpor), guy 1* (cpor), blackguard 1* (cpor), laugh at 1* (cpor), jest at 1* (cpor), rib 2* (cpor), make fun 1* (cpor), poke fun 1* (cpor))	make fun	1
371113	(ridicule 1* (cpor) [cpor] | roast 2* (cpor), guy 1* (cpor), blackguard 1* (cpor), laugh at 1* (cpor), jest at 1* (cpor), rib 2* (cpor), make fun 1* (cpor), poke fun 1* (cpor))	jest at	1
371113	(ridicule 1* (cpor) [cpor] | roast 2* (cpor), guy 1* (cpor), blackguard 1* (cpor), laugh at 1* (cpor), jest at 1* (cpor), rib 2* (cpor), make fun 1* (cpor), poke fun 1* (cpor))	laugh at	1
371110	(incite 2* (cpor) [cpor] | instigate 1* (cpor), set off 7* (cpor), stir up 4* (cpor))	stir up	4
371110	(incite 2* (cpor) [cpor] | instigate 1* (cpor), set off 7* (cpor), stir up 4* (cpor))	set off	7
371109	(pull the leg of 1* (cpor) [cpor] | kid 1* (cpor))	pull the leg of	1
371101	(bristle at 1* (cpor) [cpor] | bridle at 1* (cpor), bridle up 1* (cpor), bristle up 1* (cpor))	bristle up	1
371101	(bristle at 1* (cpor) [cpor] | bridle at 1* (cpor), bridle up 1* (cpor), bristle up 1* (cpor))	bridle up	1
371101	(bristle at 1* (cpor) [cpor] | bridle at 1* (cpor), bridle up 1* (cpor), bristle up 1* (cpor))	bridle at	1
371101	(bristle at 1* (cpor) [cpor] | bridle at 1* (cpor), bridle up 1* (cpor), bristle up 1* (cpor))	bristle at	1
