	id	lemma	domain	pos	tagcount	source	status	comment	variant	project	owner	error_comment	verb_aspect	sense id	synset_id	synset	sense_id
117	9036	tracić życie	31	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: ZD>	1	1			2				
118	9134	trzymać stronę	39	1	0.0	1.0	0.0	##K: og. ##D: popierać kogoś. [##Ko: trzymać czyjąś stronę] [##W: Po pojedynku bóg obdarł sylena ze skóry, zaopatrzył Midasa, który trzymał stronę sylena, w ośle uszy.] [##W: Mając w pamięci osąd Parysa, pomimo palladionu w wojnie trojańskiej Ateny trzymała stronę Greków.] <##nDD> <##VLC: CZ>	1	1			2				
119	68300	lista obecności	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	3	Aleksandra.Pawlikowska		0				
120	9261	uczynić coś złego	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
121	9292	udzielać wypowiedzi	30	1	1289.0	0.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
122	9294	udzielić wypowiedzi	30	1	1561.0	0.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
123	9310	ująć za serce	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: WY>	1	1			1				
124	9344	układ ciała	4	2	0.0	1.0	0.0	##K: og. ##D: ułożenie, w jakim znajduje się ciało. [##W: Według Jana Białostockiego Daumier nawiązał układem ciała martwego robotnika do typu ikonograficznego wykorzystanego przez Rubensa w obrazie Opłakiwanie.] <##nDD>	1	1			0				
125	9427	upaść na duchu	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: WY>	1	1			1				
126	78477	wstępować w związek małżeński	39	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: DZn>	1	3	Aleksandra.Pawlikowska		2				
127	9938	wisieć nad głową	35	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: ST>	1	1			2				
128	10022	wpaść na pomysł	29	1	0.0	1.0	0.0	<##nDD> <##VLC: AK>	1	1			1				
129	10158	wtrącić swoje trzy grosze	30	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: AK>	1	1			1				
